4_102900734_T_C	19
4_102903561_A_T	6
4_102892161_C_T	19
4_102880646_T_C	21
4_102851095_A_G	21
4_102901676_G_A	19
4_102883037_C_T	20
4_102820800_A_G	21
4_102848147_T_C	6
4_102767282_C_T	20
4_102726178_A_G	8
4_102905975_A_G	19
4_102860002_C_T	20
4_102782372_A_C	20
4_102772007_G_A	20
4_102895366_A_G	21
4_102834919_C_T	21
4_102769234_T_C	20
4_102780661_C_T	20
4_102845013_C_T	6
4_102914546_T_C	4
4_102825596_C_T	18
4_102897427_C_T	20
4_102913321_G_A	6
4_102908132_T_G	8
4_102907425_T_C	5
4_102899342_A_G	8
4_102892724_C_T	21
4_102788506_A_G	20
4_102873770_T_A	21
4_102864959_C_T	20
4_102914231_A_C	3
4_102912732_C_T	6
4_102904091_T_C	19
4_102903408_C_T	3
4_102766051_A_G	20
4_102712658_G_A	3
4_102897577_T_C	20
4_102801081_G_A	20
4_102788229_C_T	20
4_102711806_C_T	3
4_102805861_A_T	21
4_102909717_G_T	8
4_102865214_C_T	20
4_102768648_T_A	20
4_102910749_A_G	15
4_102909723_T_A	9
4_102904879_A_G	19
4_102837845_G_C	10
4_102897149_T_C	3
4_102810580_T_C	21
4_102799826_A_T	20
4_102903701_A_G	1
4_102721971_G_A	7
4_102828590_G_C	13
4_102809336_T_G	21
4_102769309_C_T	20
4_102901022_C_T	7
4_102881949_C_T	21
4_102843836_A_G	21
4_102903237_G_A	4
4_102857850_T_C	20
4_102836484_T_C	21
4_102821256_T_C	21
4_102890544_A_G	21
4_102838032_T_C	21
4_102823801_A_C	21
4_102858256_T_C	1
4_102719601_T_C	8
4_102804737_G_A	20
4_102769099_A_G	21
4_102769831_A_G	20
4_102887885_G_A	1
4_102788414_A_T	20
4_102903108_A_G	2
4_102793025_T_G	20
4_102889260_G_A	7
4_102881085_T_C	20
4_102872408_T_A	8
4_102903432_A_G	7
4_102815894_C_T	21
4_102908648_C_T	1
4_102908174_A_G	4
4_102903478_T_A	2
4_102854547_C_T	21
4_102820783_A_C	20
4_102810125_G_A	21
4_102759827_A_G	9
4_102780988_A_G	21
4_102902574_T_G	19
4_102828359_C_G	21
4_102909718_G_T	8
4_102780174_A_C	20
4_102745808_C_T	9
4_102798377_C_T	20
4_102766881_T_C	20
4_102827067_G_A	9
4_102820527_T_C	8
4_102894132_A_G	19
4_102884286_T_C	21
4_102811709_C_T	9
4_102911454_G_A	1
4_102889296_G_A	7
4_102829159_G_A	21
4_102780603_G_A	20
4_102730805_A_C	12
4_102780620_T_C	20
4_102780039_A_C	20
4_102815188_T_A	10
4_102905478_T_C	17
4_102901036_C_T	6
4_102897072_G_A	1
4_102871096_G_A	4
4_102878375_C_T	21
4_102832578_T_G	21
4_102827640_A_G	21
4_102889274_A_T	4
4_102901335_G_A	7
4_102862343_T_A	19
4_102900925_G_A	7
4_102771000_G_T	20
4_102887899_T_C	1
4_102809867_C_T	3
4_102896960_G_C	1
4_102892437_T_C	21
4_102771986_G_C	20
4_102892577_C_T	21
4_102859366_T_C	20
4_102757960_G_T	9
4_102768160_T_C	21
4_102897401_T_C	19
4_102829111_C_T	21
4_102811130_T_G	20
4_102718986_A_G	7
4_102725890_C_T	9
4_102811016_C_T	21
4_102802836_T_C	20
4_102801330_G_A	20
4_102840705_G_A	5
4_102833434_G_C	21
4_102789773_G_A	20
4_102836166_T_A	21
4_102763796_C_G	20
4_102887758_A_G	3
4_102798749_A_G	20
4_102908483_A_T	8
4_102905351_G_A	9
4_102779721_C_T	20
4_102876177_G_A	21
4_102869029_G_T	21
4_102791052_C_G	20
4_102878371_T_C	21
4_102858815_A_G	20
4_102789026_T_C	20
4_102843052_A_G	21
4_102913483_G_A	6
4_102905272_A_G	1
4_102884642_A_G	21
4_102859339_T_C	20
4_102850654_A_G	20
4_102778004_A_G	20
4_102909368_C_T	21
4_102833488_A_G	21
4_102803108_C_T	20
4_102909547_G_C	8
4_102856235_G_A	21
4_102753951_G_C	9
4_102772464_C_T	20
4_102733282_A_G	7
4_102899729_G_A	20
4_102859765_C_T	20
4_102914927_T_C	3
4_102890698_C_T	3
4_102846182_T_G	21
4_102811411_G_T	21
4_102789895_T_C	20
4_102901096_A_C	8
4_102878412_G_A	21
4_102832214_A_C	21
4_102799902_T_C	21
4_102766860_T_C	20
4_102767988_T_C	2
4_102901031_G_C	6
4_102815831_A_C	20
4_102779265_G_C	20
4_102914239_G_T	3
4_102908846_T_C	8
4_102903284_T_C	6
4_102873560_G_C	21
4_102792202_C_T	20
4_102714026_T_C	2
4_102875751_A_G	21
4_102852344_G_A	21
4_102798736_G_A	20
4_102889305_G_C	4
4_102853171_T_C	20
4_102849422_C_T	21
4_102845192_G_T	20
4_102908077_G_T	8
4_102813568_T_C	21
4_102791432_G_A	20
4_102782903_T_C	20
4_102840451_G_T	6
4_102864425_G_A	20
4_102817198_C_T	21
4_102771186_T_C	20
4_102911770_T_C	1
4_102735220_A_G	8
4_102890220_A_C	21
4_102881157_T_C	21
4_102868625_G_A	19
4_102855710_G_A	21
4_102833343_G_A	21
4_102903648_A_G	8
4_102853218_C_T	6
4_102798584_C_T	20
4_102900755_T_C	18
4_102910038_C_T	16
4_102837144_T_C	9
4_102815023_T_G	21
4_102900932_A_T	7
4_102799709_G_C	20
4_102762389_A_C	9
4_102774488_C_T	20
4_102888488_T_G	21
4_102793337_T_G	21
4_102896949_A_G	1
4_102849637_G_C	21
4_102880869_A_G	2
4_102712737_T_C	2
4_102864700_T_C	20
