ID	Ref_MFE	Edit_MFE	deltaG	EditSite_Changed	SpliceStart_Changed	SpliceEnd_Changed
chr11_47536684|47536684|47489024|47536620	-96.80	-96.80	0	0	NA	0
chr11_47536684|47536684|47536730|47552992	-96.80	-96.80	0	0	0	NA
chr11_47536706|47536706|47489024|47536620	-95.40	-95.40	0	0	NA	0
chr11_47536706|47536706|47536730|47552992	-95.40	-95.40	0	0	0	NA
chr12_121776900|121776900|121776444|121776	-123.40	-123.90	-0.5	1	NA	NA
chr12_121776917|121776917|121776444|121776	-128.40	-128.40	0	0	NA	NA
chr12_121776927|121776927|121776444|121776	-124.40	-124.40	0	0	NA	NA
chr16_88675689|88675689|88672122|88675539	-139.30	-139.30	0	0	NA	0
chr16_88675689|88675689|88672197|88675539	-139.30	-139.30	0	0	NA	0
chr16_88675689|88675689|88673759|88675539	-139.30	-139.30	0	0	NA	0
chr16_88675704|88675704|88672122|88675539	-142.60	-142.60	0	0	NA	0
chr16_88675704|88675704|88672197|88675539	-142.60	-142.60	0	0	NA	0
chr16_88675704|88675704|88673759|88675539	-142.60	-142.60	0	0	NA	0
chr19_37324966|37324966|37324265|37324796	-104.50	-104.50	0	0	NA	0
chr4_51887162|51887162|51886638|51887123	-93.20	-93.20	0	0	NA	0
chr4_51887162|51887162|51887244|51891760	-93.20	-93.20	0	0	0	NA
chr4_51887180|51887180|51886638|51887123	-100.00	-100.30	-0.3	0	NA	0
chr4_51887180|51887180|51887244|51891760	-100.00	-100.30	-0.3	0	0	NA
chr4_51887200|51887200|51886638|51887123	-109.90	-115.30	-5.4	1	NA	1
chr4_51887200|51887200|51887244|51891760	-109.90	-115.30	-5.4	1	1	NA
